Front,Back
What does CCST stand for?,Cisco Certified Support Technician.
Which CCST track focuses on fundamental networking?,CCST Networking.
Name the 7 layers of the OSI model in order.,"Physical, Data Link, Network, Transport, Session, Presentation, Application."
At which OSI layer does IP operate?,Network layer (Layer 3).
At which OSI layer does MAC addressing operate?,Data Link layer (Layer 2).
At which OSI layer does TCP operate?,Transport layer (Layer 4).
What is the PDU name at the Network layer?,Packet.
What is the PDU name at the Data Link layer?,Frame.
What is the PDU name at the Physical layer?,Bits.
What is encapsulation in networking?,The process of adding headers (and trailers) as data moves down the protocol stack.
"Which model has layers: Link, Internet, Transport, Application?",TCP/IP model.
What is the main function of the Transport layer?,"End-to-end communication, segmentation, flow control, and error recovery."
Which transport protocol is connection-oriented?,TCP.
Which transport protocol is connectionless?,UDP.
What is a port number used for?,To identify specific applications/services on a host.
What is the default port for HTTP?,TCP 80.
What is the default port for HTTPS?,TCP 443.
What port does DNS typically use?,UDP 53 (and TCP 53 for zone transfers).
What port does DHCP use for server responses?,UDP 67 (server) and UDP 68 (client).
What port does SSH use?,TCP 22.
What address type is 192.168.1.10?,Private IPv4 address.
What is the purpose of private IP addressing?,To allow internal addressing not routable on the public Internet.
What is NAT used for?,Translating private IP addresses to public addresses for Internet access.
What does PAT stand for?,Port Address Translation.
What is the default subnet mask for a Class C network?,255.255.255.0 (/24).
How many hosts are available in a /24 network?,254 usable hosts.
How many hosts are available in a /30 network?,2 usable hosts.
What is CIDR notation?,"Classless Inter-Domain Routing; it uses prefix length (e.g., /24) to denote the subnet mask."
What is the purpose of a default gateway?,Routes traffic from a local network to other networks.
Define VLAN.,A logical segmentation of a Layer 2 network into separate broadcast domains.
Which protocol is used to dynamically learn VLAN trunking?,802.1Q for tagging; (DTP negotiates trunking on some switches).
What is a trunk port?,A switch port that carries traffic for multiple VLANs using tagging.
What is the native VLAN in 802.1Q?,The VLAN that is not tagged on a trunk (default is VLAN 1).
What is inter-VLAN routing?,Routing between VLANs using a router-on-a-stick or Layer 3 switch.
What is a MAC address?,A 48-bit hardware address expressed in hexadecimal used at Layer 2.
What is ARP used for?,Resolving IPv4 addresses to MAC addresses.
What is the IPv6 equivalent of ARP?,Neighbor Discovery (ND).
What are the three main IPv6 address types?,"Unicast, Multicast, and Anycast."
What is a link-local IPv6 address prefix?,fe80::/10.
What is the loopback IPv4 address?,127.0.0.1.
What device connects multiple networks and forwards packets based on IP?,Router.
What device forwards frames within a LAN based on MAC addresses?,Switch.
What device extends the physical network and regenerates signals?,Repeater.
What is the purpose of a wireless access point (WAP)?,To provide 802.11 wireless connectivity to clients.
What frequency bands are commonly used for Wi‑Fi?,2.4 GHz and 5 GHz (and 6 GHz for Wi‑Fi 6E).
What is SSID?,Service Set Identifier; the name of a wireless network.
What is the purpose of WPA2/WPA3?,Provide wireless security via authentication and encryption.
What is the difference between half‑duplex and full‑duplex?,Half-duplex sends or receives at a time; full-duplex does both simultaneously.
What does auto-MDIX do?,Automatically detects and configures crossover/straight-through on Ethernet ports.
What is PoE?,Power over Ethernet—delivers power and data over the same Ethernet cable.
"What cable type is used for long-distance, high‑bandwidth links with immunity to EMI?",Fiber-optic cable.
